# Forge 5.50-5.61 ownership inventory. Tab-separated; destinations are relative to the declared scope.
# kind	source	destination	scope	platform	host	ownership	selector	proof
legacy	CLAUDE.template.md	CLAUDE.md	project	all	claude	mixed-regions	regions:project-root	region-hash
legacy	GLOBAL-CLAUDE.template.md	.claude/CLAUDE.md	global	all	claude	mixed-regions	regions:global-root	region-hash
legacy	state.template.md	.claude/state.template.md	project	all	claude	whole-file	-	sha256
legacy	manifests/legacy-v5-releases.tsv	.claude/.forge-version	project	all	claude	generated-value	supported-stamped-version	release-map-exact-value
legacy	manifests/legacy-v5-releases.tsv	.claude/.forge-version	global	all	claude	generated-value	supported-stamped-version	release-map-exact-value
legacy	setup.sh	.claude/playwright-dir	project	all	claude	generated-value	playwright-directory	exact-value
merge	settings/settings.template.json	.claude/settings.json	project	unix	claude	managed-entry	/enabledPlugins/superpowers@claude-plugins-official	exact-json
merge	settings/settings.template.json	.claude/settings.json	project	unix	claude	managed-entry	/enabledPlugins/pr-review-toolkit@claude-plugins-official	exact-json
merge	settings/settings.template.json	.claude/settings.json	project	unix	claude	managed-entry	/enabledPlugins/frontend-design@claude-plugins-official	exact-json
merge	settings/settings.template.json	.claude/settings.json	project	unix	claude	managed-entry	/permissions/allow	exact-array-members
merge	settings/settings.template.json	.claude/settings.json	project	unix	claude	managed-entry	/permissions/deny	exact-array-members
merge	settings/settings.template.json	.claude/settings.json	project	unix	claude	managed-entry	/permissions/ask	exact-array-members
merge	settings/settings.template.json	.claude/settings.json	project	unix	claude	managed-entry	/hooks/SessionStart	exact-json
merge	settings/settings.template.json	.claude/settings.json	project	unix	claude	managed-entry	/hooks/Stop	exact-json
merge	settings/settings.template.json	.claude/settings.json	project	unix	claude	managed-entry	/hooks/SubagentStop	exact-json
merge	settings/settings.template.json	.claude/settings.json	project	unix	claude	managed-entry	/hooks/PreCompact	exact-json
merge	settings/settings.template.json	.claude/settings.json	project	unix	claude	managed-entry	/hooks/ConfigChange	exact-json
merge	settings/settings.template.json	.claude/settings.json	project	unix	claude	managed-entry	/hooks/PreToolUse	exact-json
merge	settings/settings.template.json	.claude/settings.json	project	unix	claude	managed-entry	/hooks/PermissionRequest	exact-json
merge	settings/settings.template.json	.claude/settings.json	project	unix	claude	managed-entry	/hooks/PostToolUse	exact-json
merge	settings/settings-windows.template.json	.claude/settings.json	project	windows	claude	managed-entry	/enabledPlugins/superpowers@claude-plugins-official	exact-json
merge	settings/settings-windows.template.json	.claude/settings.json	project	windows	claude	managed-entry	/enabledPlugins/pr-review-toolkit@claude-plugins-official	exact-json
merge	settings/settings-windows.template.json	.claude/settings.json	project	windows	claude	managed-entry	/enabledPlugins/frontend-design@claude-plugins-official	exact-json
merge	settings/settings-windows.template.json	.claude/settings.json	project	windows	claude	managed-entry	/permissions/allow	exact-array-members
merge	settings/settings-windows.template.json	.claude/settings.json	project	windows	claude	managed-entry	/permissions/deny	exact-array-members
merge	settings/settings-windows.template.json	.claude/settings.json	project	windows	claude	managed-entry	/permissions/ask	exact-array-members
